Grid Scores:

0.671 (+/-0.097) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.672 (+/-0.085) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.676 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.676 (+/-0.086) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.671 (+/-0.097) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.672 (+/-0.085) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.676 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.673 (+/-0.098) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.674 (+/-0.077) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.681 (+/-0.078) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.674 (+/-0.081) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.673 (+/-0.098) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.674 (+/-0.077) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.681 (+/-0.078) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.674 (+/-0.081) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.670 (+/-0.079) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.681 (+/-0.053) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.668 (+/-0.089) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.672 (+/-0.090) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
